Rank,State,"Coal Production, thousand short tons",Note: Rankings are based on the full source data values.
1,WY,304188
2,WV,95365
3,PA,49883
4,IL,49563
5,KY,39567
6,MT,38610
7,IN,34598
8,ND,29643
9,TX,24823
10,AL,14783
11,CO,14026
12,UT,13619
13,VA,12715
14,NM,10792
15,OH,8993
16,AZ,6550
17,MS,2940
18,LA,1483
19,MD,1298
20,AK,902
21,OK,610
22,MO,259
23,TN,232
24,New Hampshire,--
24,South Carolina,--
24,District of Columbia,--
24,Nevada,--
24,South Dakota,--
24,California,--
24,Kansas,--
24,New Jersey,--
24,Maine,--
24,Michigan,--
24,New York,--
24,Georgia,--
24,Arkansas,--
24,Iowa,--
24,Oregon,--
24,Rhode Island,--
24,Minnesota,--
24,Delaware,--
24,Massachusetts,--
24,Wisconsin,--
24,Vermont,--
24,Nebraska,--
24,Florida,--
24,North Carolina,--
24,Idaho,--
24,Hawaii,--
24,WA,--
24,Connecticut,--